symbol,date,close,rsi,macd,sma20,avg_sentiment,news_count
TRIDENT,2025-05-16,29.38,62.51,0.13,27.96,0.2603,10
TRIVENI,2025-05-16,430.1,60.53,0.53,416.41,0.2832,10
TRITURBINE,2025-05-16,605.15,66.05,11.21,532.63,0.0871,10
TIINDIA,2025-05-16,3044.6,62.17,19.24,2821.71,0.1769,10
UCOBANK,2025-05-16,30.98,48.62,0.26,30.67,0.0831,10
UNOMINDA,2025-05-16,989.5,66.27,10.5,918.87,0.1132,10
UPL,2025-05-16,644.2,44.96,-5.26,667.7,0.1612,10
UTIAMC,2025-05-16,1120.2,62.29,6.6,1056.37,0.0612,10
ULTRACEMCO,2025-05-16,11905.0,58.02,-14.99,11813.0,0.168,10
UNIONBANK,2025-05-16,133.02,59.89,0.86,126.75,0.293,10
UBL,2025-05-16,2050.6,43.89,-19.84,2146.12,0.2917,10
UNITDSPR,2025-05-16,1540.3,55.5,-9.0,1551.37,0.4779,10
USHAMART,2025-05-16,311.6,53.27,1.96,304.07,0.0025,9
VGUARD,2025-05-16,375.0,61.97,0.44,365.6,0.08,10
DBREALTY,2025-05-16,191.05,65.47,0.19,179.24,0.2218,10
VTL,2025-05-16,499.8,64.87,0.04,477.3,0.0025,10
VBL,2025-05-16,501.65,42.49,-2.66,522.39,0.2767,10
MANYAVAR,2025-05-16,751.6,45.28,-1.41,766.76,0.0709,10
VEDL,2025-05-16,441.2,60.34,4.32,420.19,0.0738,10
VIJAYA,2025-05-16,909.8,37.01,-14.31,1013.14,0.1184,10
VMM,2025-05-16,126.27,65.28,0.82,117.97,0.3077,10
IDEA,2025-05-16,7.37,52.76,0.03,7.28,0.3045,10
VOLTAS,2025-05-16,1261.4,47.43,6.07,1258.54,0.231,10
WAAREEENER,2025-05-16,2921.1,67.83,15.7,2677.68,0.3587,10
WELCORP,2025-05-16,781.9,51.83,3.82,768.19,0.2574,10
WELSPUNLIV,2025-05-16,149.07,64.37,1.79,134.76,0.135,10
WESTLIFE,2025-05-16,694.5,48.4,0.51,700.9,0.2608,10
WHIRLPOOL,2025-05-16,1296.4,68.04,0.48,1211.22,0.0723,10
WIPRO,2025-05-16,254.31,54.32,2.83,244.34,0.1982,10
WOCKPHARMA,2025-05-16,1330.4,51.78,0.83,1325.55,0.304,10
YESBANK,2025-05-16,21.55,80.64,0.35,18.96,0.6505,10
ZFCVINDIA,2025-05-16,13221.0,59.3,65.88,12772.6,0.0129,10
ZEEL,2025-05-16,129.67,73.01,1.85,114.29,0.2907,10
ZENTEC,2025-05-16,1794.8,77.0,36.22,1472.96,0.0149,10
ZENSARTECH,2025-05-16,798.75,66.92,11.4,723.61,0.1997,10
ZYDUSLIFE,2025-05-16,902.7,56.75,3.88,879.58,0.2263,10
ECLERX,2025-05-16,3301.8,79.04,89.16,2619.61,0.1764,10
